description,budget,average_cast_pop,genre,director,success_label
A fateful day pushes an aimless college dropout (Tom Schilling) to stop wasting his time and finally engage with life. ,300000,0.0,Comedy,Jan Ole Gerster,flop
"Humbert Humbert is a middle-aged British novelist who is both appalled by and attracted to the vulgarity of American culture. When he comes to stay at the boarding house run by Charlotte Haze, he soon becomes obsessed with Lolita, the woman's teenaged daughter. [{'id': 459, 'name': 'sexual obsession'}, {'id': 612, 'name': 'hotel'}, {'id': 894, 'name': 'depression'}, {'id': 936, 'name': 'loss of mother'}, {'id': 1415, 'name': 'small town'}, {'id': 1486, 'name': 'flirt'}, {'id': 1599, 'name': 'midlife crisis'}, {'id': 1664, 'name': 'eroticism'}, {'id': 2086, 'name': 'youngster'}, {'id': 2087, 'name': 'lolita'}, {'id': 2669, 'name': 'motel'}, {'id': 2913, 'name': 'diary'}, {'id': 3182, 'name': 'seduction'}, {'id': 3691, 'name': 'forbidden love'}, {'id': 3746, 'name': 'professor for literature'}, {'id': 4125, 'name': 'provocation'}, {'id': 4126, 'name': 'fascination'}, {'id': 4127, 'name': 'one-sided love'}, {'id': 4129, 'name': 'widow'}, {'id': 4130, 'name': 'adoptive father'}, {'id': 4549, 'name': 'loss of husband'}, {'id': 5767, 'name': 'summer camp'}, {'id': 7879, 'name': 'secret love'}]",2000000,0.0,Drama,Stanley Kubrick,flop
"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it. [{'id': 2535, 'name': 'destroy'}, {'id': 4375, 'name': 'transformation'}, {'id': 9951, 'name': 'alien'}, {'id': 10542, 'name': 'based on toy'}, {'id': 10607, 'name': 'transformers'}, {'id': 14544, 'name': 'robot'}, {'id': 179431, 'name': 'duringcreditsstinger'}, {'id': 188178, 'name': 'teenage hero'}]",150000000,0.0,Adventure,Michael Bay,blockbuster
"Tells the story of operation Market Garden. A failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure. [{'id': 1199, 'name': 'netherlands'}, {'id': 1956, 'name': 'world war ii'}, {'id': 11102, 'name': 'panzer'}, {'id': 157788, 'name': 'british soldier'}]",22000000,0.0,Drama,Richard Attenborough,above average
"Hallam's talent for spying on people reveals his darkest fears-and his most peculiar desires. Driven to expose the true cause of his mother's death, he instead finds himself searching the rooftops of the city for love. [{'id': 738, 'name': 'sexuality'}, {'id': 1605, 'name': 'new love'}, {'id': 1664, 'name': 'eroticism'}, {'id': 1759, 'name': 'night life'}, {'id': 3737, 'name': 'dying and death'}, {'id': 3763, 'name': 'beobachten'}, {'id': 5921, 'name': 'step mother'}, {'id': 11933, 'name': 'conflict'}, {'id': 14536, 'name': 'crime'}]",8000000,0.0,Drama,David Mackenzie,flop
"A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet. [{'id': 4152, 'name': 'kingdom'}, {'id': 10016, 'name': 'lightsaber'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 10877, 'name': 'dead body'}, {'id': 15252, 'name': 'magical object'}, {'id': 33974, 'name': 'fortress'}, {'id': 161891, 'name': 'doppelganger'}, {'id': 161893, 'name': 'cyclops'}, {'id': 161896, 'name': 'changeling'}]",27000000,0.0,Fantasy,Peter Yates,below average
"A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover. [{'id': 237, 'name': 'gay'}, {'id': 936, 'name': 'loss of mother'}, {'id': 1328, 'name': 'secret'}, {'id': 1862, 'name': 'coming out'}, {'id': 1872, 'name': 'loss of father'}, {'id': 10163, 'name': 'cancer'}, {'id': 208390, 'name': 'lgbt elderly'}]",3200000,0.0,Drama,Mike Mills,flop
"Quadriplegics, who play full-contact rugby in wheelchairs, overcome unimaginable obstacles to compete in the Paralympic Games in Athens, Greece. [{'id': 994, 'name': 'paralympics'}, {'id': 2564, 'name': 'wheelchair'}, {'id': 6075, 'name': 'sport'}, {'id': 7912, 'name': 'rugby'}]",300000,0.0,Documentary,Henry Alex Rubin,flop
"Hyeong-Do (So Ji-Sub) is an assassin for a company that masquerades as a metal trading company. One day, he takes on a job partnering with a man Hyun-Yi, who is he is to kill afterwards. Hyun-Yi asks a favor to Hyeong-Do which is to give money to his family.  Hyeong-Do visits Hyun-Yi's home where he meets Hyun-Yi's wife Su-Yeon (Lee Mi-Yeon). Su-Yeon is a former singer whom Hyeong-Do admired in the past. Guilt, an unknown feeling up to this point for Hyeong-Do, begins take over Hyeong-Do. [{'id': 9748, 'name': 'revenge'}, {'id': 10229, 'name': 'singer'}, {'id': 10291, 'name': 'organized crime'}, {'id': 33720, 'name': 'guilt'}, {'id': 158540, 'name': 'south korea'}]",3500000,0.0,Drama,Sangyoon Lim,flop
"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising. [{'id': 351, 'name': 'poison'}, {'id': 2034, 'name': 'hermes'}, {'id': 14667, 'name': 'poseidon'}, {'id': 180548, 'name': 'demigod'}, {'id': 180909, 'name': 'golden fleece'}, {'id': 180912, 'name': 'olympus'}, {'id': 209714, 'name': '3d'}, {'id': 221835, 'name': 'kronos'}, {'id': 221836, 'name': 'overthrow olympus'}, {'id': 223438, 'name': 'based on young adult novel'}]",90000000,0.0,Adventure,Thor Freudenthal,hit
"Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens? [{'id': 258, 'name': 'bomb'}, {'id': 1284, 'name': 'identity'}, {'id': 2486, 'name': 'fantasy'}, {'id': 2532, 'name': 'bomber'}, {'id': 3301, 'name': 'suspicion'}, {'id': 4379, 'name': 'time travel'}, {'id': 5340, 'name': 'investigation'}, {'id': 9887, 'name': 'surrealism'}, {'id': 13065, 'name': 'soldier'}, {'id': 14605, 'name': 'helicopter pilot'}]",32000000,0.0,Thriller,Duncan Jones,hit
"Based on the true story of Jack DiNorscio, a mobster who defended himself in court for what would be the longest mafia trial in U.S. history. [{'id': 3012, 'name': 'court case'}, {'id': 4171, 'name': 'staatsanwältin'}, {'id': 7629, 'name': 'family clan'}, {'id': 13142, 'name': 'gangster'}]",13000000,0.0,Drama,Sidney Lumet,flop
"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife. [{'id': 128, 'name': 'love triangle'}, {'id': 596, 'name': 'adultery'}, {'id': 1889, 'name': 'lake'}, {'id': 2755, 'name': 'country life'}, {'id': 3152, 'name': 'planned murder'}, {'id': 3154, 'name': 'indian summer '}, {'id': 5809, 'name': 'marriage crisis'}, {'id': 11004, 'name': 'rural setting'}, {'id': 14527, 'name': 'storm'}, {'id': 14828, 'name': 'city'}, {'id': 154802, 'name': 'silent film'}, {'id': 154846, 'name': 'farmer'}]",0,0.0,Drama,F.W. Murnau,flop
"Dr. Richard Thorndyke arrives as new administrator of the Psychoneurotic Institute for the Very, VERY Nervous to discover some suspicious goings-on. When he's framed for murder, Dr. Thorndyke must confront his own psychiatric condition, ""high anxiety,"" in order to clear his name. [{'id': 2456, 'name': 'industrialist'}, {'id': 2567, 'name': 'vertigo'}, {'id': 2708, 'name': 'hitman'}, {'id': 4079, 'name': 'lighthouse'}, {'id': 11931, 'name': 'spoof'}, {'id': 155440, 'name': 'hitchcockian'}]",3400000,0.0,Comedy,Mel Brooks,average
"On Christmas Eve, a little girl named Marie (Cohen) falls asleep after a party at her home and dreams herself into a fantastic world where toys become larger than life. She meets up with the Nutcracker Prince (Culkin) who defends her from the Mouse King. [{'id': 10551, 'name': 'ballet'}]",19000000,0.0,Family,Emile Ardolino,flop
"D'Artagnan travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu, who secretly hopes to usurp the throne. Fortunately, Athos, Porthos and Aramis have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown. [{'id': 90, 'name': 'paris'}, {'id': 14577, 'name': 'musketeer'}]",30000000,0.0,Action,Stephen Herek,above average
"Follows a soldier trying to gain recognition for comrades who died in 1948, at a turning point in the civil war between the communists and the nationalist forces of the Kuomintang (KMT). [{'id': 393, 'name': 'civil war'}, {'id': 4355, 'name': 'chinese civil war'}, {'id': 6091, 'name': 'war'}, {'id': 166673, 'name': 'chinese communists'}]",16000000,0.0,Action,Feng Xiaogang,average
"Rose Loomis and her older, gloomier husband, George, are vacationing at a cabin in Niagara Falls, N.Y. The couple befriend Polly and Ray Cutler, who are honeymooning in the area. Polly begins to suspect that something is amiss between Rose and George, and her suspicions grow when she sees Rose in the arms of another man. While Ray initially thinks Polly is overreacting, things between George and Rose soon take a shockingly dark turn. [{'id': 389, 'name': 'clock tower'}, {'id': 1326, 'name': 'infidelity'}, {'id': 2676, 'name': 'honeymoon'}, {'id': 2801, 'name': 'self-defense'}, {'id': 5739, 'name': 'waterfall'}, {'id': 6298, 'name': 'postcard'}, {'id': 6662, 'name': 'delirium'}, {'id': 8653, 'name': 'niagara falls'}, {'id': 9826, 'name': 'murder'}, {'id': 10326, 'name': 'morgue'}, {'id': 10424, 'name': 'tour guide'}, {'id': 13073, 'name': 'fear'}, {'id': 15290, 'name': 'pursuit'}, {'id': 155440, 'name': 'hitchcockian'}, {'id': 167942, 'name': 'screaming'}, {'id': 175316, 'name': 'unconsciousness'}, {'id': 195402, 'name': 'film noir'}, {'id': 234197, 'name': 'adultress'}]",1250000,0.0,Crime,Henry Hathaway,flop
"A surrogate mother harbors a deadly secret desire for a family of her own with the husband who is expecting to raise her child. [{'id': 1328, 'name': 'secret'}, {'id': 7638, 'name': 'surrogate mother'}, {'id': 33513, 'name': 'desire'}]",10000000,0.0,Mystery,Jon Cassar,average
"A successful artist looks back with loving memories on the summer of his defining year, 1974. A talented but troubled 18-year-old aspiring artist befriends a brilliant elderly alcoholic painter who has turned his back on not only art but life. The two form what appears to be at first a tenuous relationship. The kid wants to learn all the secrets the master has locked away inside his head and heart. Time has not been kind to the old master. His life appears pointless to him until the kid rekindles his interest in his work and ultimately gives him the will to live. Together, they give one another a priceless gift. The kid learns to see the world through the master's eyes. And the master learns to see life through the eyes of innocence again. This story is based on a real life experience. [{'id': 10183, 'name': 'independent film'}]",3250000,0.0,Drama,George Gallo,flop
"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good. [{'id': 334, 'name': 'flying'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1412, 'name': 'becoming an adult'}, {'id': 2343, 'name': 'magic'}, {'id': 2710, 'name': 'fairy'}, {'id': 3650, 'name': 'child hero'}, {'id': 3930, 'name': 'bravery'}, {'id': 4418, 'name': 'pirate gang'}, {'id': 5938, 'name': 'mermaid'}, {'id': 10336, 'name': 'animation'}, {'id': 12988, 'name': 'pirate'}, {'id': 47972, 'name': 'native peoples'}]",4000000,0.0,Animation,Clyde Geronimi,above average
"During shopping for Christmas, Frank and Molly run into each other. This fleeting short moment will start to change their lives, when they recognize each other months later in the train home and have a good time together. Although both are married and Frank has two little kids, they meet more and more often, their friendship becoming the most precious thing in their lives. ",0,0.0,Drama,Ulu Grosbard,below average
"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show. [{'id': 179431, 'name': 'duringcreditsstinger'}]",30000000,0.0,Comedy,Bobby Farrelly,above average
"Fioravante decides to become a professional Don Juan as a way of making money to help his cash-strapped friend, Murray. With Murray acting as his ""manager"", the duo quickly finds themselves caught up in the crosscurrents of love and money. [{'id': 3248, 'name': 'gigolo'}, {'id': 6054, 'name': 'friendship'}, {'id': 9835, 'name': 'sexual fantasy'}, {'id': 11508, 'name': 'jewish'}, {'id': 14512, 'name': 'new york city'}, {'id': 188259, 'name': 'money problems'}, {'id': 219779, 'name': 'fling'}]",0,0.0,Comedy,John Turturro,flop
"Eight people experience sleep paralysis, a condition which leaves them unable to move, speak or react. ",0,0.0,Horror,Rodney Ascher,flop
"A vain London playboy offers his soul in exchange for eternal beauty in this adaptation of the chilling tale by author Oscar Wilde. Seduced into the decadent world of Lord Henry Wotton (Colin Firth), handsome young aristocrat Dorian Gray (Ben Barnes) becomes obsessed with maintaining his youthful appearance, and commissions a special portrait that will weather the winds of time while he remains forever young. When Gray's obsession spirals out of control, his desperate attempts to safeguard his secret turn his once-privileged life into a living hell. ",0,0.0,Fantasy,Oliver Parker,flop
"The US President and the UK Prime Minister are looking to launch a war in the Middle East. The plot follows government officials and advisers in their behind-the-scenes efforts either to promote the war or prevent it. Spinal Tap meets Strangelove. A satirical demolition of Whitehall and Washington: politically astute, hilarious and terrifyingly real. [{'id': 521, 'name': 'washington d.c.'}, {'id': 6091, 'name': 'war'}, {'id': 10588, 'name': 'political incompetence'}, {'id': 10589, 'name': 'warmongering'}, {'id': 15053, 'name': 'united nations'}, {'id': 157333, 'name': 'vote'}, {'id': 169086, 'name': 'political satire'}, {'id': 174420, 'name': 'intern'}, {'id': 179431, 'name': 'duringcreditsstinger'}]",0,0.0,Comedy,Armando Iannucci,flop
"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax. [{'id': 380, 'name': 'brother brother relationship'}, {'id': 1438, 'name': 'office'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 3607, 'name': 'hold-up robbery'}, {'id': 3658, 'name': 'career'}, {'id': 4900, 'name': 'shortage of money'}, {'id': 5332, 'name': 'greed'}, {'id': 5340, 'name': 'investigation'}, {'id': 5600, 'name': 'daughter'}, {'id': 5905, 'name': 'father'}, {'id': 6282, 'name': 'workplace'}, {'id': 7439, 'name': 'woman between two men'}, {'id': 11157, 'name': 'sibling rivalry'}, {'id': 11612, 'name': 'hospital'}, {'id': 156237, 'name': 'jewelry store'}, {'id': 188665, 'name': 'botched robbery'}]",18000000,0.0,Crime,Sidney Lumet,average
"When his army unit was ambushed during the first Gulf War, Sergeant Raymond Shaw saved his fellow soldiers just as his commanding officer, then-Captain Ben Marco, was knocked unconscious. Brokering the incident for political capital, Shaw eventually becomes a vice-presidential nominee, while Marco is haunted by dreams of what happened -- or didn't happen -- in Kuwait. As Marco (now a Major) investigates, the story begins to unravel, to the point where he questions if it happened at all. Is it possible the entire unit was kidnapped and brainwashed to believe Shaw is a war hero as part of a plot to seize the White House? Some very powerful people at Manchurian Global corporation appear desperate to stop him from finding out. [{'id': 2944, 'name': 'senator'}, {'id': 2952, 'name': 'gulf war'}, {'id': 4707, 'name': 'canoe'}, {'id': 8651, 'name': 'kuwait'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 33482, 'name': 'war hero'}, {'id': 33483, 'name': 'u.s. congress'}, {'id': 46955, 'name': 'implant'}]",80000000,0.0,Drama,Jonathan Demme,above average
"Reverend Brooks leads the town in a contest to stop smoking for a month, But some tobacco executives don't want them to win, and try everything they can to make them smoke. If townspeople don't go nuts, from wanting a cigarette, or kill each other from irritation and frustration, they will will a huge prize. [{'id': 6782, 'name': 'addiction'}, {'id': 11732, 'name': 'cigarette smoking'}]",0,0.0,Comedy,Norman Lear,below average
"Jack Chester, an overworked air traffic controller, takes his family on vacation to the beach. Things immediately start to go wrong for the Chesters, and steadily get worse. Jack ends up in a feud with a local yachtsman, and has to race him to regain his pride and family's respect. [{'id': 9823, 'name': 'rivalry'}, {'id': 14724, 'name': 'family vacation'}, {'id': 192283, 'name': 'suffering parent'}, {'id': 192284, 'name': 'time off'}, {'id': 192285, 'name': 'run down house'}]",0,0.0,Comedy,Carl Reiner,below average
"After a botched heist, Eddie  a murderous crime boss, hunts down the seductive thief Karen who failed him. In order to win back Eddie’s trust, Karen recruits her ex-lover and premier thief Jack to steal a cargo of rare precious gems. But when the job goes down, allegiances are betrayed and lines are crossed as Jack, Karen, and Eddie face off in a fateful showdown. [{'id': 9730, 'name': 'crime boss'}, {'id': 10051, 'name': 'heist'}]",10500000,0.0,Action,Max Adams,flop
"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival! [{'id': 704, 'name': 'adolescence'}, {'id': 818, 'name': 'based on novel'}, {'id': 1452, 'name': 'loss of child'}, {'id': 1721, 'name': 'fight'}, {'id': 3713, 'name': 'chase'}, {'id': 3822, 'name': 'teleportation'}, {'id': 4769, 'name': 'supernatural powers'}, {'id': 4820, 'name': 'leap in time'}, {'id': 4986, 'name': 'enemy'}, {'id': 6170, 'name': 'motherly love'}]",85000000,0.0,Adventure,Doug Liman,hit
"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity. [{'id': 402, 'name': 'clone'}, {'id': 444, 'name': 'taxi'}, {'id': 679, 'name': 'cyborg'}, {'id': 1160, 'name': 'egypt'}, {'id': 2964, 'name': 'future'}, {'id': 3622, 'name': 'stowaway'}, {'id': 3801, 'name': 'space travel'}, {'id': 4776, 'name': 'race against time'}, {'id': 6163, 'name': 'arms dealer'}, {'id': 9673, 'name': 'love'}, {'id': 9951, 'name': 'alien'}, {'id': 10093, 'name': 'priest'}, {'id': 10150, 'name': 'end of the world'}, {'id': 10842, 'name': 'good vs evil'}, {'id': 10950, 'name': 'shootout'}, {'id': 11148, 'name': 'police chase'}, {'id': 11290, 'name': 'cab driver'}, {'id': 14512, 'name': 'new york city'}, {'id': 161176, 'name': 'space opera'}, {'id': 162365, 'name': 'military'}, {'id': 164920, 'name': 'opera singer'}, {'id': 169593, 'name': 'resort hotel'}, {'id': 172718, 'name': 'ancient astronaut'}, {'id': 223344, 'name': 'archeologist'}, {'id': 229863, 'name': 'ancient evil'}, {'id': 234630, 'name': 'cruise liner'}]",90000000,0.0,Adventure,Luc Besson,hit
"Georges Duroy travels through 1890s Paris, from cockroach ridden garrets to opulent salons, using his wits and powers of seduction to rise from poverty to wealth, from a prostitute’s embrace to passionate trysts with wealthy beauties, in a world where politics and media jostle for influence, where sex is power and celebrity an obsession. [{'id': 596, 'name': 'adultery'}, {'id': 736, 'name': 'journalist'}, {'id': 818, 'name': 'based on novel'}, {'id': 918, 'name': 'newspaper'}, {'id': 1890, 'name': 'camping'}, {'id': 11510, 'name': 'unfaithfulness'}, {'id': 156866, 'name': 'based on short story'}, {'id': 207928, 'name': '19th century'}]",9000000,0.0,Romance,Nick Ormerod,flop
"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten. [{'id': 587, 'name': 'amsterdam'}, {'id': 818, 'name': 'based on novel'}, {'id': 825, 'name': 'support group'}, {'id': 10163, 'name': 'cancer'}, {'id': 13130, 'name': 'teenager'}, {'id': 165086, 'name': 'star crossed lovers'}, {'id': 193400, 'name': 'teen drama'}, {'id': 210429, 'name': 'oxygen tank'}, {'id': 223438, 'name': 'based on young adult novel'}]",12000000,0.0,Romance,Josh Boone,hit
"The film opens with the angel Cassiel (Otto Sander) standing on the statue of the Angel of Victory overlooking post-Cold War Berlin. Growing ever more despondent over his fate as a mere observer of human life, rather than a vital part of it, Cassiel dreams of ""crossing over"" to the human world.And he does, as Karl Engel, a man who perhaps knows too much, perhaps like in many of Hitchcock's films, some harmless citizen who gets involved in an affair to which he is not up to. In fact, there is no one as kind and harmless as this newborn citizen of the Earth.We will follow Cassiels's adventures into a ""thriller."" This story which gets mangled with his own life is about weapons, more precisely about a weapon deal where the weapons - or INSTRUMENTS of violence -- are traded for IMAGES of violence.(Text from Wim Wenders site) [{'id': 220, 'name': 'berlin'}, {'id': 290, 'name': 'angel'}, {'id': 5768, 'name': 'urban life'}, {'id': 9713, 'name': 'friends'}, {'id': 10084, 'name': 'rescue'}]",0,0.0,Drama,Wim Wenders,flop
"Jose Manuel Gomez Perales, ""El Jaro"", lives alone in Madrid, with no other company than his band and his ""girlfriends."" One day he meets Mercedes, a prostitute of Mexican origin. Mercedes falls for him and offers him her home to take him apart from his life of crime. [{'id': 549, 'name': 'prostitute'}, {'id': 642, 'name': 'robbery'}, {'id': 736, 'name': 'journalist'}, {'id': 744, 'name': 'madrid'}, {'id': 6147, 'name': 'delinquency'}, {'id': 14857, 'name': 'juvenile delinquent'}, {'id': 14964, 'name': 'drug'}, {'id': 185722, 'name': 'based on true events'}, {'id': 207573, 'name': 'cine quinqui'}]",0,0.0,Crime,Eloy de la Iglesia,flop
"Julie Kohler is prevented from suicide by her mother. She leaves the town. She will track down, charm and kill five men who do not know her. What is her goal ? What is her purpose? [{'id': 1522, 'name': 'repayment'}, {'id': 9016, 'name': 'femme fatale'}, {'id': 155845, 'name': 'french noir'}]",747000,0.0,Mystery,François Truffaut,flop
"TPB AFK is a documentary about three computer addicts who redefined the world of media distribution with their hobby homepage The Pirate Bay. How did Tiamo, a beer crazy hardware fanatic, Brokep a tree hugging eco activist and Anakata – a paranoid hacker libertarian – get the White House to threaten the Swedish government with trade sanctions? TPB AFK explores what Hollywood’s most hated pirates go through on a personal level. [{'id': 10395, 'name': 'piracy'}, {'id': 12361, 'name': 'hacking'}, {'id': 157107, 'name': 'court trial'}]",0,0.0,Documentary,Simon Klose,flop
"It's the early nineteenth century Washington. Young adult Margaret O'Neal, Peggy to most that know her, is the daughter of Major William O'Neal, who is the innkeeper of the establishment where most out-of-town politicians and military men stay when they're in Washington. Peggy is pretty and politically aware. She is courted by several of those politicians and military men who all want to marry her, except for the one with who she is truly in love. [{'id': 521, 'name': 'washington d.c.'}, {'id': 1732, 'name': 'innkeeper'}, {'id': 9840, 'name': 'romance'}, {'id': 194021, 'name': 'andrew jackson'}]",1119000,0.0,Drama,Clarence Brown,flop
"After experiencing traumatic nightmares of a time now past, the Sorceress summons Prince Adam and Cringer to Castle Grayskull to give Adam a precious, jeweled sword and send the pair to the planet Etheria to investigate its secrets. [{'id': 1400, 'name': 'swordplay'}, {'id': 1938, 'name': 'sword'}, {'id': 10491, 'name': 'swordsman'}, {'id': 11196, 'name': 'rebellion'}, {'id': 18187, 'name': 'family reunion'}, {'id': 163208, 'name': 'singapore'}, {'id': 195446, 'name': 'sword and planet'}]",0,0.0,Animation,Gwen Wetzler,flop
"Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival. [{'id': 10150, 'name': 'end of the world'}, {'id': 12332, 'name': 'apocalypse'}, {'id': 33452, 'name': 'trilogy'}, {'id': 172514, 'name': 'homage'}]",20000000,0.0,Comedy,Edgar Wright,average
"During the final weeks of a presidential race, the President is accused of sexual misconduct. To distract the public until the election, the President's adviser hires a Hollywood producer to help him stage a fake war. [{'id': 521, 'name': 'washington d.c.'}, {'id': 570, 'name': 'rape'}, {'id': 591, 'name': 'cia'}, {'id': 840, 'name': 'usa president'}, {'id': 1543, 'name': 'war veteran'}, {'id': 2419, 'name': 'staging'}, {'id': 2559, 'name': 'film maker'}, {'id': 2941, 'name': 'albania'}, {'id': 2943, 'name': 'sex scandal'}, {'id': 2944, 'name': 'senator'}, {'id': 2946, 'name': 'presidential election'}, {'id': 2952, 'name': 'gulf war'}, {'id': 2953, 'name': 'media adviser'}, {'id': 2954, 'name': 'manipulation of the media'}, {'id': 6085, 'name': 'election campaign'}, {'id': 6086, 'name': 'government'}, {'id': 6091, 'name': 'war'}, {'id': 13065, 'name': 'soldier'}, {'id': 34094, 'name': 'extramarital affair'}]",15000000,0.0,Comedy,Barry Levinson,above average
"Stranded and alone on a desert island during a cruise, a spoiled rich woman and a deckhand fall in love and make a date to reunite after their rescue. [{'id': 596, 'name': 'adultery'}, {'id': 2041, 'name': 'island'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 157524, 'name': 'tropical island'}]",10000000,0.0,Comedy,Guy Ritchie,flop
"Brothers John and Matt have inherited an island cabin from their recently deceased uncle. Along with Matt's girlfriend, Nicki, and other mutual friends, the siblings travel to the cabin for a relaxing weekend getaway. But, not long after arriving, the group is besieged by ravenous dogs. They watch in horror as another vacationer, Luke, is eaten alive. Soon, they discover a training facility where the dogs have been bred to kill. [{'id': 911, 'name': 'exotic island'}, {'id': 3605, 'name': 'baseball bat'}, {'id': 6876, 'name': 'vacation'}, {'id': 13040, 'name': 'electrocution'}, {'id': 13209, 'name': 'cabin in the woods'}, {'id': 15162, 'name': 'dog'}, {'id': 33671, 'name': 'german shepherd'}, {'id': 156630, 'name': 'remote island'}, {'id': 158130, 'name': 'animal attack'}, {'id': 158922, 'name': 'dog attack'}, {'id': 162085, 'name': 'loss of friend'}, {'id': 170057, 'name': 'chased by a dog'}]",0,0.0,Thriller,Nicholas Mastandrea,flop
"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors were dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission. [{'id': 41177, 'name': 'weapon of mass destruction'}, {'id': 41178, 'name': 'baghdad'}, {'id': 41179, 'name': 'iraqi\xa0'}]",100000000,0.0,War,Paul Greengrass,above average
"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley. [{'id': 4235, 'name': 'duke'}, {'id': 6165, 'name': 'historical figure'}, {'id': 10202, 'name': 'treason'}, {'id': 18396, 'name': 'catholic'}, {'id': 41022, 'name': 'protestant'}]",30000000,0.0,Drama,Shekhar Kapur,above average
"Approaching collapse, the nation's economy is quickly eroding. As crime and fear take over the countryside, the government continues to exert its brutal force against the nation's most productive who are mysteriously vanishing - leaving behind a wake of despair. One man has the answer. One woman stands in his way. Some will stop at nothing to control him. Others will stop at nothing to save him. He swore by his life. They swore to find him. [{'id': 33452, 'name': 'trilogy'}, {'id': 173299, 'name': 'ayn rand'}]",5000000,0.0,Drama,James Manera,flop
"Philo Beddoe is your regular, easygoing, truck-driving guy. He's also the best bar-room brawler west of the Rockies. And he lives with a 165-pound orangutan named Clyde. Like other guys, Philo finally falls in love - with a flighty singer who leads him on a screwball chase across the American Southwest. Nothing's in the way except a motorcycle gang, and legendary brawler Tank Murdock. [{'id': 397, 'name': 'bare knuckle boxing'}, {'id': 828, 'name': 'waitress'}, {'id': 1495, 'name': 'fishing'}, {'id': 1890, 'name': 'camping'}, {'id': 2064, 'name': 'overweight'}, {'id': 2669, 'name': 'motel'}, {'id': 4552, 'name': 'beer'}, {'id': 6951, 'name': 'biker'}, {'id': 14762, 'name': 'orangutan'}, {'id': 15149, 'name': 'monkey'}, {'id': 155262, 'name': 'threesome'}, {'id': 158026, 'name': 'meat hook'}]",5,0.0,Action,James Fargo,flop
